Grid Demand [W],PV Gen [W],Day-ahead Price [EUR/MWh]
-10789.458333333334,0.0,79.49
-10419.5625,0.0,82.46
-11071.520833333334,955.3708333333332,105.92
-8683.083333333334,4426.104166666667,120.46
-12747.4375,5139.670833333334,121.69
-118.9375,22701.15,117.93
-7589.666666666667,13366.979166666666,110.01
-12932.531380753138,8831.991631799163,108.36
-16564.208333333332,5447.3875,105.07
-12566.94560669456,9046.903765690377,102.8
-10898.229166666666,9618.075,106.99
-9713.333333333334,9838.891666666666,115.69
-7531.791666666667,11695.466666666667,117.6
-7156.541666666667,10717.354166666666,123.29
-13592.125,3653.045833333333,137.99
-12665.770833333334,3435.866666666667,150.0
-14640.770833333334,671.9833333333333,147.0
-15772.583333333334,48.770833333333336,124.1
-14957.8125,0.0,111.04
-15457.9375,0.0,96.7
-15583.729166666666,0.0,87.97
-16042.719665271969,0.0,78.07
-16407.125,0.0,76.84
-15853.9375,0.0,75.15
-15552.6875,0.0,75.24
-11562.833333333334,0.0,77.81
-10741.583333333334,258.05,92.88
-9977.875,3131.233333333333,104.49
-10061.333333333334,6739.6,107.97
-4195.6875,15234.929166666669,104.62
2390.75,31282.729166666668,105.46
7103.145833333333,36126.24583333333,102.38
2878.875,22873.179166666665,95.0
7303.166666666667,32235.095833333333,91.92
7238.020833333333,32489.733333333334,87.0
14903.625,41111.60416666666,83.21
3271.3541666666665,17792.341666666667,82.5
77.89583333333333,9772.679166666669,88.15
-4409.3125,6247.025,94.47
-4382.791666666667,2125.858333333333,97.68
-5665.791666666667,2499.2,98.25
-8192.125,281.1,98.43
-9749.791666666666,0.0,96.69
-11091.8125,0.0,91.98
-11143.5625,0.0,84.73
-11154.330543933054,0.0,80.86
-10320.520833333334,0.0,75.75
-10548.770833333334,0.0,74.04
-10771.833333333334,0.0,72.87
-10356.1875,55.0125,72.45
-7884.0625,3116.65,74.02
-2739.6666666666665,8154.733333333334,80.02
143.0,18435.079166666663,80.41
2253.625,28696.0875,79.22
8927.645833333334,35473.27916666667,74.73
23656.6875,41159.325,68.5
31703.541666666668,44833.05,70.03
22564.479166666668,36216.254166666666,65.81
9113.020833333334,22621.879166666666,68.83
25935.27083333333,38582.4375,70.4
12381.3125,25557.129166666666,73.0
14248.041666666666,27633.229166666668,81.31
3190.5,16271.0125,93.16
-113.85416666666669,8283.454166666666,97.91
-392.1458333333333,1735.6208333333334,99.19
-1221.0208333333333,0.0,100.05
-7687.0625,0.0,98.5
-8117.791666666667,0.0,95.0
-9487.895833333334,0.0,87.4
-11430.962343096237,0.0,79.09
-10684.145833333334,0.0,75.14
-11882.6875,0.0,70.13
-10780.416666666666,0.0,68.72
-11603.520833333334,0.0,68.69
-9209.625,1885.2041666666669,68.63
-7293.625,4943.0875,70.02
660.7291666666666,20063.82083333333,71.56
4334.666666666667,28855.75,72.0
3958.7916666666665,28313.941666666666,71.28
4787.75,23344.38333333333,73.45
25625.0,39632.99166666667,73.0
7567.604166666667,20262.975,68.09
15802.75,28614.929166666665,64.0
5467.020833333333,19539.408333333333,65.22
13690.875,25482.5625,67.98
14950.0625,27450.925,73.75
7327.520833333333,20108.416666666668,80.85
275.7291666666667,10766.520833333334,94.25
-290.8125,3261.2166666666667,99.76
-672.6041666666666,163.7875,103.1
-5219.291666666667,0.0,103.63
-7514.0,0.0,96.02
-8544.104166666666,0.0,83.4
-9454.393305439333,0.0,76.04
-10836.75,0.0,74.0
-10559.5,0.0,72.92
-10737.583333333334,0.0,73.06
-10625.958333333334,68.7,76.12
-7782.604166666667,3699.891666666667,94.83
-6074.583333333333,7710.854166666667,105.62
-627.6666666666666,17570.8875,106.01
-47.458333333333336,23575.454166666663,101.8
493.7291666666667,26570.691666666666,95.94
546.0208333333334,29484.725,94.99
1599.75,32384.095833333333,91.16
6628.708333333333,41004.3375,87.0
5047.5625,29636.525,86.47
4914.229166666667,35113.32916666667,88.89
359.75,23844.6,91.7
1774.0,23048.7375,99.93
-510.6458333333333,14437.775,108.45
-1273.2916666666667,5921.5375,120.49
-5675.333333333333,1965.2916666666667,112.41
-10644.479166666666,257.5125,103.9
-14077.5625,0.0,102.26
-12821.166666666666,0.0,95.44
-13859.208333333334,0.0,88.61
-12893.138075313807,0.0,83.4
-12281.166666666666,0.0,81.02
-13226.0625,0.0,76.96
-12832.791666666666,0.0,76.95
-14541.5625,0.0,84.47
-12913.354166666666,99.63333333333334,98.01
-14960.145833333334,2163.9333333333334,104.03
-19993.291666666668,2106.625,109.88
-25864.45833333333,627.4916666666667,106.0
-24173.0,3377.45,102.51
-23712.6875,3328.3,104.31
-20345.791666666668,6337.266666666666,99.39
-14309.604166666666,12921.95,97.96
-19133.625,7785.354166666667,95.28
-19763.0625,7025.041666666667,92.17
-15106.020833333334,9725.733333333334,91.92
-11596.0625,8705.4125,98.79
-5580.083333333333,10583.7125,103.76
-6200.208333333333,6295.291666666667,105.0
-10672.041666666666,2746.491666666667,100.29
-11318.229166666666,100.5125,98.52
-13081.833333333334,0.0,95.03
-10746.604166666666,0.0,86.1
-11151.833333333334,0.0,78.0
-12198.020833333334,0.0,75.2
-11714.854166666666,0.0,72.86
-11229.666666666666,0.0,72.67
-11057.270833333334,0.0,74.38
-11261.4375,107.51666666666668,78.85
-8873.395833333334,2053.079166666667,95.34
-8373.458333333334,4856.258333333333,104.98
-13197.394957983191,6270.504201680672,111.11
-15610.287610619467,7034.654867256637,110.07
-18163.597285067877,5163.303167420814,103.32
-17558.811659192826,5340.8878923766815,101.15
-10880.065789473683,9826.732456140351,95.41
-3620.372807017544,19806.95175438597,88.55
-7666.4473684210525,14392.767543859649,79.05
-3210.08547008547,22863.46581196581,74.44
-3845.3813559322034,18249.330508474577,71.18
-7282.25,9255.1,81.87
-16193.872340425532,2995.655319148936,91.83
-13688.395833333334,2073.65,93.46
-15554.145833333334,656.8083333333333,94.33
-15360.979166666666,0.0,88.11
-14093.041666666666,0.0,85.5
-11211.729166666666,0.0,75.68
-11707.895833333334,0.0,77.95
-11379.791666666666,0.0,76.83
-10553.104166666666,0.0,75.81
-11665.0,0.0,75.72
-10667.625,0.0,78.0
-11405.145833333334,0.0,81.44
-11582.354166666666,164.75416666666666,97.74
-12300.895833333334,2141.208333333333,105.0
-16469.354166666668,4674.0625,105.0
-16335.4375,6257.408333333334,103.17
-14669.791666666666,7687.775,101.23
-6836.416666666667,17025.570833333335,100.83
-4093.6041666666665,18620.908333333333,94.79
1754.9166666666667,30126.0125,90.86
2324.1041666666665,33265.479166666664,85.0
-2927.333333333333,18998.93333333333,79.98
2246.583333333333,28993.0,78.12
4260.4375,31397.879166666666,90.61
-39.47916666666666,10470.983333333334,94.64
-3640.7291666666665,4744.395833333333,96.7
-8096.041666666667,4196.55,96.3
-15549.729166666666,112.4,91.91
-17340.3125,0.0,90.86
-14123.729166666666,0.0,85.17
-13558.229166666666,0.0,79.14
-12463.284518828452,0.0,74.91
-13341.1875,0.0,73.13
-11832.5625,0.0,71.81
-14757.583333333334,0.0,72.62
-12016.333333333334,3.3875,76.73
-11479.479166666666,1994.9541666666669,93.88
-7901.270833333333,7558.470833333334,101.87
-4626.770833333333,14629.733333333334,101.59
-369.6652719665272,23481.297071129706,97.91
2077.145833333333,27335.816666666666,93.37
1516.75,29255.6625,90.42
6124.625,34462.65416666667,89.06
532.6666666666666,20750.858333333334,78.01
5080.604166666667,38187.0,74.15
3090.0625,28906.908333333333,70.28
-82.1875,22350.5875,71.26
2663.833333333333,25224.5625,77.91
1203.3333333333333,19624.725,90.0
