"Time","PVGen"
"2021-07-09 17:00:00","9.77 kW"
"2021-07-09 18:00:00","6.25 kW"
"2021-07-09 19:00:00","2.13 kW"
"2021-07-09 20:00:00","2.50 kW"
"2021-07-09 21:00:00","281 W"
"2021-07-09 22:00:00","0 W"
"2021-07-09 23:00:00","0 W"
"2021-07-10 00:00:00","0 W"
"2021-07-10 01:00:00","0 W"
"2021-07-10 02:00:00","0 W"
"2021-07-10 03:00:00","0 W"
"2021-07-10 04:00:00","0 W"
"2021-07-10 05:00:00","55.0 W"
"2021-07-10 06:00:00","3.12 kW"
"2021-07-10 07:00:00","8.15 kW"
"2021-07-10 08:00:00","18.4 kW"
"2021-07-10 09:00:00","28.7 kW"
"2021-07-10 10:00:00","35.5 kW"
"2021-07-10 11:00:00","41.2 kW"
"2021-07-10 12:00:00","44.8 kW"
"2021-07-10 13:00:00","36.2 kW"
"2021-07-10 14:00:00","22.6 kW"
"2021-07-10 15:00:00","38.6 kW"
"2021-07-10 16:00:00","25.6 kW"
"2021-07-10 17:00:00","27.6 kW"
"2021-07-10 18:00:00","16.3 kW"
"2021-07-10 19:00:00","8.28 kW"
"2021-07-10 20:00:00","1.74 kW"
"2021-07-10 21:00:00","0 W"
"2021-07-10 22:00:00","0 W"
"2021-07-10 23:00:00","0 W"
"2021-07-11 00:00:00","0 W"
"2021-07-11 01:00:00","0 W"
"2021-07-11 02:00:00","0 W"
"2021-07-11 03:00:00","0 W"
"2021-07-11 04:00:00","0 W"
"2021-07-11 05:00:00","0 W"
"2021-07-11 06:00:00","1.89 kW"
"2021-07-11 07:00:00","4.94 kW"
"2021-07-11 08:00:00","20.1 kW"
"2021-07-11 09:00:00","28.9 kW"
"2021-07-11 10:00:00","28.3 kW"
"2021-07-11 11:00:00","23.3 kW"
"2021-07-11 12:00:00","39.6 kW"
"2021-07-11 13:00:00","20.3 kW"
"2021-07-11 14:00:00","28.6 kW"
"2021-07-11 15:00:00","19.5 kW"
"2021-07-11 16:00:00","25.5 kW"
"2021-07-11 17:00:00","27.5 kW"
"2021-07-11 18:00:00","20.1 kW"
"2021-07-11 19:00:00","10.8 kW"
"2021-07-11 20:00:00","3.26 kW"
"2021-07-11 21:00:00","164 W"
"2021-07-11 22:00:00","0 W"
"2021-07-11 23:00:00","0 W"
"2021-07-12 00:00:00","0 W"
"2021-07-12 01:00:00","0 W"
"2021-07-12 02:00:00","0 W"
"2021-07-12 03:00:00","0 W"
"2021-07-12 04:00:00","0 W"
"2021-07-12 05:00:00","68.7 W"
"2021-07-12 06:00:00","3.70 kW"
"2021-07-12 07:00:00","7.71 kW"
"2021-07-12 08:00:00","17.6 kW"
"2021-07-12 09:00:00","23.6 kW"
"2021-07-12 10:00:00","26.6 kW"
"2021-07-12 11:00:00","29.5 kW"
"2021-07-12 12:00:00","32.4 kW"
"2021-07-12 13:00:00","41.0 kW"
"2021-07-12 14:00:00","29.6 kW"
"2021-07-12 15:00:00","35.1 kW"
"2021-07-12 16:00:00","23.8 kW"
"2021-07-12 17:00:00","23.0 kW"
"2021-07-12 18:00:00","14.4 kW"
"2021-07-12 19:00:00","5.92 kW"
"2021-07-12 20:00:00","1.97 kW"
"2021-07-12 21:00:00","258 W"
"2021-07-12 22:00:00","0 W"
"2021-07-12 23:00:00","0 W"
"2021-07-13 00:00:00","0 W"
"2021-07-13 01:00:00","0 W"
"2021-07-13 02:00:00","0 W"
"2021-07-13 03:00:00","0 W"
"2021-07-13 04:00:00","0 W"
"2021-07-13 05:00:00","0 W"
"2021-07-13 06:00:00","99.6 W"
"2021-07-13 07:00:00","2.16 kW"
"2021-07-13 08:00:00","2.11 kW"
"2021-07-13 09:00:00","627 W"
"2021-07-13 10:00:00","3.38 kW"
"2021-07-13 11:00:00","3.33 kW"
"2021-07-13 12:00:00","6.34 kW"
"2021-07-13 13:00:00","12.9 kW"
"2021-07-13 14:00:00","7.79 kW"
"2021-07-13 15:00:00","7.03 kW"
"2021-07-13 16:00:00","9.73 kW"
"2021-07-13 17:00:00","8.71 kW"
"2021-07-13 18:00:00","10.6 kW"
"2021-07-13 19:00:00","6.30 kW"
"2021-07-13 20:00:00","2.75 kW"
"2021-07-13 21:00:00","101 W"
"2021-07-13 22:00:00","0 W"
"2021-07-13 23:00:00","0 W"
"2021-07-14 00:00:00","0 W"
"2021-07-14 01:00:00","0 W"
"2021-07-14 02:00:00","0 W"
"2021-07-14 03:00:00","0 W"
"2021-07-14 04:00:00","0 W"
"2021-07-14 05:00:00","108 W"
"2021-07-14 06:00:00","2.05 kW"
"2021-07-14 07:00:00","4.86 kW"
"2021-07-14 08:00:00","6.27 kW"
"2021-07-14 09:00:00","7.03 kW"
"2021-07-14 10:00:00","5.16 kW"
"2021-07-14 11:00:00","5.34 kW"
"2021-07-14 12:00:00","9.83 kW"
"2021-07-14 13:00:00","19.8 kW"
"2021-07-14 14:00:00","14.4 kW"
"2021-07-14 15:00:00","22.9 kW"
"2021-07-14 16:00:00","18.2 kW"
"2021-07-14 17:00:00","9.26 kW"
"2021-07-14 18:00:00","3.00 kW"
"2021-07-14 19:00:00","2.07 kW"
"2021-07-14 20:00:00","657 W"
"2021-07-14 21:00:00","0 W"
"2021-07-14 22:00:00","0 W"
"2021-07-14 23:00:00","0 W"
"2021-07-15 00:00:00","0 W"
"2021-07-15 01:00:00","0 W"
"2021-07-15 02:00:00","0 W"
"2021-07-15 03:00:00","0 W"
"2021-07-15 04:00:00","0 W"
"2021-07-15 05:00:00","0 W"
"2021-07-15 06:00:00","165 W"
"2021-07-15 07:00:00","2.14 kW"
"2021-07-15 08:00:00","4.67 kW"
"2021-07-15 09:00:00","6.26 kW"
"2021-07-15 10:00:00","7.69 kW"
"2021-07-15 11:00:00","17.0 kW"
"2021-07-15 12:00:00","18.6 kW"
"2021-07-15 13:00:00","30.1 kW"
"2021-07-15 14:00:00","33.3 kW"
"2021-07-15 15:00:00","19.0 kW"
"2021-07-15 16:00:00","29.0 kW"
"2021-07-15 17:00:00","31.4 kW"
"2021-07-15 18:00:00","10.5 kW"
"2021-07-15 19:00:00","4.74 kW"
"2021-07-15 20:00:00","4.20 kW"
"2021-07-15 21:00:00","112 W"
"2021-07-15 22:00:00","0 W"
"2021-07-15 23:00:00","0 W"
"2021-07-16 00:00:00","0 W"
"2021-07-16 01:00:00","0 W"
"2021-07-16 02:00:00","0 W"
"2021-07-16 03:00:00","0 W"
"2021-07-16 04:00:00","0 W"
"2021-07-16 05:00:00","3.39 W"
"2021-07-16 06:00:00","1.99 kW"
"2021-07-16 07:00:00","7.56 kW"
"2021-07-16 08:00:00","14.6 kW"
"2021-07-16 09:00:00","23.5 kW"
"2021-07-16 10:00:00","27.3 kW"
"2021-07-16 11:00:00","29.3 kW"
"2021-07-16 12:00:00","34.5 kW"
"2021-07-16 13:00:00","20.8 kW"
"2021-07-16 14:00:00","38.2 kW"
"2021-07-16 15:00:00","28.9 kW"
"2021-07-16 16:00:00","22.4 kW"
"2021-07-16 17:00:00","25.2 kW"
"2021-07-16 18:00:00","19.6 kW"
"2021-07-16 19:00:00","6.70 kW"
"2021-07-16 20:00:00","3.54 kW"
"2021-07-16 21:00:00","177 W"
"2021-07-16 22:00:00","0 W"
"2021-07-16 23:00:00","0 W"
"2021-07-17 00:00:00","0 W"
"2021-07-17 01:00:00","0 W"
"2021-07-17 02:00:00","0 W"
"2021-07-17 03:00:00","0 W"
"2021-07-17 04:00:00","0 W"
"2021-07-17 05:00:00","0 W"
"2021-07-17 06:00:00","1.92 kW"
"2021-07-17 07:00:00","5.95 kW"
"2021-07-17 08:00:00","12.3 kW"
"2021-07-17 09:00:00","9.50 kW"
"2021-07-17 10:00:00","13.4 kW"
"2021-07-17 11:00:00","13.7 kW"
"2021-07-17 12:00:00","21.2 kW"
"2021-07-17 13:00:00","15.7 kW"
"2021-07-17 14:00:00","24.3 kW"
"2021-07-17 15:00:00","13.8 kW"
"2021-07-17 16:00:00","29.5 kW"
"2021-07-17 17:00:00","16.0 kW"
"2021-07-17 18:00:00","9.54 kW"
"2021-07-17 19:00:00","4.69 kW"
"2021-07-17 20:00:00","2.62 kW"
"2021-07-17 21:00:00","174 W"
"2021-07-17 22:00:00","0 W"
"2021-07-17 23:00:00","0 W"
"2021-07-18 00:00:00","0 W"
