"Time","EDM: Balance"
"2021-09-13 00:00:00","-8.59 kW"
"2021-09-13 01:00:00","-9.28 kW"
"2021-09-13 02:00:00","-8.33 kW"
"2021-09-13 03:00:00","-9.53 kW"
"2021-09-13 04:00:00","-8.17 kW"
"2021-09-13 05:00:00","-9.72 kW"
"2021-09-13 06:00:00","-9.15 kW"
"2021-09-13 07:00:00","-9.34 kW"
"2021-09-13 08:00:00","-7.90 kW"
"2021-09-13 09:00:00","-3.02 kW"
"2021-09-13 10:00:00","483 W"
"2021-09-13 11:00:00","2.99 kW"
"2021-09-13 12:00:00","13.1 kW"
"2021-09-13 13:00:00","12.7 kW"
"2021-09-13 14:00:00","13.3 kW"
"2021-09-13 15:00:00","8.05 kW"
"2021-09-13 16:00:00","2.40 kW"
"2021-09-13 17:00:00","190 W"
"2021-09-13 18:00:00","-205 W"
"2021-09-13 19:00:00","-85.8 W"
"2021-09-13 20:00:00","-3.79 kW"
"2021-09-13 21:00:00","-5.88 kW"
"2021-09-13 22:00:00","-9.75 kW"
"2021-09-13 23:00:00","-8.70 kW"
"2021-09-14 00:00:00","-9.88 kW"
"2021-09-14 01:00:00","-8.65 kW"
"2021-09-14 02:00:00","-9.72 kW"
"2021-09-14 03:00:00","-9.13 kW"
"2021-09-14 04:00:00","-9.54 kW"
"2021-09-14 05:00:00","-9.08 kW"
"2021-09-14 06:00:00","-10.1 kW"
"2021-09-14 07:00:00","-9.59 kW"
"2021-09-14 08:00:00","-8.05 kW"
"2021-09-14 09:00:00","-2.55 kW"
"2021-09-14 10:00:00","652 W"
"2021-09-14 11:00:00","2.05 kW"
"2021-09-14 12:00:00","6.43 kW"
"2021-09-14 13:00:00","4.69 kW"
"2021-09-14 14:00:00","2.87 kW"
"2021-09-14 15:00:00","3.46 kW"
"2021-09-14 16:00:00","345 W"
"2021-09-14 17:00:00","-182 W"
"2021-09-14 18:00:00","-1.88 kW"
"2021-09-14 19:00:00","-8.46 kW"
"2021-09-14 20:00:00","-8.96 kW"
"2021-09-14 21:00:00","-9.69 kW"
"2021-09-14 22:00:00","-10.4 kW"
"2021-09-14 23:00:00","-8.41 kW"
