"MTU (CET/CEST)","Day-ahead Price [EUR/MWh]"
"13.07.2021 09:00 - 13.07.2021 10:00","106.00"
"13.07.2021 10:00 - 13.07.2021 11:00","102.51"
"13.07.2021 11:00 - 13.07.2021 12:00","104.31"
"13.07.2021 12:00 - 13.07.2021 13:00","99.39"
"13.07.2021 13:00 - 13.07.2021 14:00","97.96"
"13.07.2021 14:00 - 13.07.2021 15:00","95.28"
"13.07.2021 15:00 - 13.07.2021 16:00","92.17"
"13.07.2021 16:00 - 13.07.2021 17:00","91.92"
"13.07.2021 17:00 - 13.07.2021 18:00","98.79"
"13.07.2021 18:00 - 13.07.2021 19:00","103.76"
"13.07.2021 19:00 - 13.07.2021 20:00","105.00"
"13.07.2021 20:00 - 13.07.2021 21:00","100.29"
"13.07.2021 21:00 - 13.07.2021 22:00","98.52"
"13.07.2021 22:00 - 13.07.2021 23:00","95.03"
"13.07.2021 23:00 - 14.07.2021 00:00","86.10"
"14.07.2021 00:00 - 14.07.2021 01:00","78.00"
"14.07.2021 01:00 - 14.07.2021 02:00","75.20"
"14.07.2021 02:00 - 14.07.2021 03:00","72.86"
"14.07.2021 03:00 - 14.07.2021 04:00","72.67"
"14.07.2021 04:00 - 14.07.2021 05:00","74.38"
"14.07.2021 05:00 - 14.07.2021 06:00","78.85"
"14.07.2021 06:00 - 14.07.2021 07:00","95.34"
"14.07.2021 07:00 - 14.07.2021 08:00","104.98"
"14.07.2021 08:00 - 14.07.2021 09:00","111.11"
"14.07.2021 09:00 - 14.07.2021 10:00","110.07"
"14.07.2021 10:00 - 14.07.2021 11:00","103.32"
"14.07.2021 11:00 - 14.07.2021 12:00","101.15"
"14.07.2021 12:00 - 14.07.2021 13:00","95.41"
"14.07.2021 13:00 - 14.07.2021 14:00","88.55"
"14.07.2021 14:00 - 14.07.2021 15:00","79.05"
"14.07.2021 15:00 - 14.07.2021 16:00","74.44"
"14.07.2021 16:00 - 14.07.2021 17:00","71.18"
"14.07.2021 17:00 - 14.07.2021 18:00","81.87"
"14.07.2021 18:00 - 14.07.2021 19:00","91.83"
"14.07.2021 19:00 - 14.07.2021 20:00","93.46"
"14.07.2021 20:00 - 14.07.2021 21:00","94.33"
"14.07.2021 21:00 - 14.07.2021 22:00","88.11"
"14.07.2021 22:00 - 14.07.2021 23:00","85.50"
"14.07.2021 23:00 - 15.07.2021 00:00","75.68"
"15.07.2021 00:00 - 15.07.2021 01:00","77.95"
"15.07.2021 01:00 - 15.07.2021 02:00","76.83"
