"MTU (CET/CEST)","Day-ahead Price [EUR/MWh]"
"08.08.2021 14:00 - 08.08.2021 15:00","-63.03"
"08.08.2021 15:00 - 08.08.2021 16:00","-52.43"
"08.08.2021 16:00 - 08.08.2021 17:00","-28.59"
"08.08.2021 17:00 - 08.08.2021 18:00","-4.34"
"08.08.2021 18:00 - 08.08.2021 19:00","40.74"
"08.08.2021 19:00 - 08.08.2021 20:00","62.00"
"08.08.2021 20:00 - 08.08.2021 21:00","68.05"
"08.08.2021 21:00 - 08.08.2021 22:00","65.90"
"08.08.2021 22:00 - 08.08.2021 23:00","63.73"
"08.08.2021 23:00 - 09.08.2021 00:00","56.58"
"09.08.2021 00:00 - 09.08.2021 01:00","44.04"
"09.08.2021 01:00 - 09.08.2021 02:00","39.20"
"09.08.2021 02:00 - 09.08.2021 03:00","38.27"
"09.08.2021 03:00 - 09.08.2021 04:00","31.92"
"09.08.2021 04:00 - 09.08.2021 05:00","37.50"
"09.08.2021 05:00 - 09.08.2021 06:00","50.88"
"09.08.2021 06:00 - 09.08.2021 07:00","72.23"
"09.08.2021 07:00 - 09.08.2021 08:00","82.39"
"09.08.2021 08:00 - 09.08.2021 09:00","86.90"
"09.08.2021 09:00 - 09.08.2021 10:00","79.13"
"09.08.2021 10:00 - 09.08.2021 11:00","65.49"
"09.08.2021 11:00 - 09.08.2021 12:00","58.02"
"09.08.2021 12:00 - 09.08.2021 13:00","59.32"
"09.08.2021 13:00 - 09.08.2021 14:00","54.24"
"09.08.2021 14:00 - 09.08.2021 15:00","50.85"
"09.08.2021 15:00 - 09.08.2021 16:00","54.97"
"09.08.2021 16:00 - 09.08.2021 17:00","56.95"
"09.08.2021 17:00 - 09.08.2021 18:00","74.96"
"09.08.2021 18:00 - 09.08.2021 19:00","91.37"
"09.08.2021 19:00 - 09.08.2021 20:00","102.91"
"09.08.2021 20:00 - 09.08.2021 21:00","107.61"
"09.08.2021 21:00 - 09.08.2021 22:00","103.00"
"09.08.2021 22:00 - 09.08.2021 23:00","96.34"
"09.08.2021 23:00 - 10.08.2021 00:00","83.65"
"10.08.2021 00:00 - 10.08.2021 01:00","73.65"
"10.08.2021 01:00 - 10.08.2021 02:00","70.96"
"10.08.2021 02:00 - 10.08.2021 03:00","67.29"
"10.08.2021 03:00 - 10.08.2021 04:00","65.06"
"10.08.2021 04:00 - 10.08.2021 05:00","67.24"
"10.08.2021 05:00 - 10.08.2021 06:00","70.51"
"10.08.2021 06:00 - 10.08.2021 07:00","85.96"
"10.08.2021 07:00 - 10.08.2021 08:00","105.23"
"10.08.2021 08:00 - 10.08.2021 09:00","115.00"
"10.08.2021 09:00 - 10.08.2021 10:00","106.35"
"10.08.2021 10:00 - 10.08.2021 11:00","97.28"
"10.08.2021 11:00 - 10.08.2021 12:00","88.12"
"10.08.2021 12:00 - 10.08.2021 13:00","84.60"
"10.08.2021 13:00 - 10.08.2021 14:00","79.91"
"10.08.2021 14:00 - 10.08.2021 15:00","74.07"
"10.08.2021 15:00 - 10.08.2021 16:00","75.49"
"10.08.2021 16:00 - 10.08.2021 17:00","80.35"
"10.08.2021 17:00 - 10.08.2021 18:00","89.51"
"10.08.2021 18:00 - 10.08.2021 19:00","104.54"
"10.08.2021 19:00 - 10.08.2021 20:00","116.29"
"10.08.2021 20:00 - 10.08.2021 21:00","137.17"
"10.08.2021 21:00 - 10.08.2021 22:00","120.00"
"10.08.2021 22:00 - 10.08.2021 23:00","111.60"
"10.08.2021 23:00 - 11.08.2021 00:00","92.25"
"11.08.2021 00:00 - 11.08.2021 01:00","91.07"
"11.08.2021 01:00 - 11.08.2021 02:00","85.10"
"11.08.2021 02:00 - 11.08.2021 03:00","83.93"
"11.08.2021 03:00 - 11.08.2021 04:00","82.10"
"11.08.2021 04:00 - 11.08.2021 05:00","82.32"
"11.08.2021 05:00 - 11.08.2021 06:00","88.51"
"11.08.2021 06:00 - 11.08.2021 07:00","107.96"
"11.08.2021 07:00 - 11.08.2021 08:00","134.04"
"11.08.2021 08:00 - 11.08.2021 09:00","121.61"
"11.08.2021 09:00 - 11.08.2021 10:00","108.98"
"11.08.2021 10:00 - 11.08.2021 11:00","92.97"
"11.08.2021 11:00 - 11.08.2021 12:00","88.63"
"11.08.2021 12:00 - 11.08.2021 13:00","84.60"
"11.08.2021 13:00 - 11.08.2021 14:00","82.21"
"11.08.2021 14:00 - 11.08.2021 15:00","80.29"
"11.08.2021 15:00 - 11.08.2021 16:00","82.96"
"11.08.2021 16:00 - 11.08.2021 17:00","88.05"
"11.08.2021 17:00 - 11.08.2021 18:00","104.47"
"11.08.2021 18:00 - 11.08.2021 19:00","115.00"
"11.08.2021 19:00 - 11.08.2021 20:00","128.46"
"11.08.2021 20:00 - 11.08.2021 21:00","140.02"
"11.08.2021 21:00 - 11.08.2021 22:00","125.01"
"11.08.2021 22:00 - 11.08.2021 23:00","117.00"
"11.08.2021 23:00 - 12.08.2021 00:00","103.00"
"12.08.2021 00:00 - 12.08.2021 01:00","96.67"
"12.08.2021 01:00 - 12.08.2021 02:00","91.70"
"12.08.2021 02:00 - 12.08.2021 03:00","90.05"
"12.08.2021 03:00 - 12.08.2021 04:00","87.00"
"12.08.2021 04:00 - 12.08.2021 05:00","84.64"
"12.08.2021 05:00 - 12.08.2021 06:00","87.02"
"12.08.2021 06:00 - 12.08.2021 07:00","106.92"
"12.08.2021 07:00 - 12.08.2021 08:00","120.00"
"12.08.2021 08:00 - 12.08.2021 09:00","120.77"
"12.08.2021 09:00 - 12.08.2021 10:00","109.00"
"12.08.2021 10:00 - 12.08.2021 11:00","102.72"
"12.08.2021 11:00 - 12.08.2021 12:00","98.06"
"12.08.2021 12:00 - 12.08.2021 13:00","95.00"
"12.08.2021 13:00 - 12.08.2021 14:00","91.94"
"12.08.2021 14:00 - 12.08.2021 15:00","92.99"
"12.08.2021 15:00 - 12.08.2021 16:00","94.95"
"12.08.2021 16:00 - 12.08.2021 17:00","100.91"
"12.08.2021 17:00 - 12.08.2021 18:00","111.40"
"12.08.2021 18:00 - 12.08.2021 19:00","126.79"
"12.08.2021 19:00 - 12.08.2021 20:00","145.00"
"12.08.2021 20:00 - 12.08.2021 21:00","144.00"
"12.08.2021 21:00 - 12.08.2021 22:00","133.37"
"12.08.2021 22:00 - 12.08.2021 23:00","119.00"
"12.08.2021 23:00 - 13.08.2021 00:00","107.12"
"13.08.2021 00:00 - 13.08.2021 01:00","94.87"
"13.08.2021 01:00 - 13.08.2021 02:00","85.37"
"13.08.2021 02:00 - 13.08.2021 03:00","81.01"
"13.08.2021 03:00 - 13.08.2021 04:00","79.96"
"13.08.2021 04:00 - 13.08.2021 05:00","81.30"
"13.08.2021 05:00 - 13.08.2021 06:00","85.26"
"13.08.2021 06:00 - 13.08.2021 07:00","113.00"
"13.08.2021 07:00 - 13.08.2021 08:00","124.00"
"13.08.2021 08:00 - 13.08.2021 09:00","121.93"
"13.08.2021 09:00 - 13.08.2021 10:00","109.66"
"13.08.2021 10:00 - 13.08.2021 11:00","99.98"
"13.08.2021 11:00 - 13.08.2021 12:00","88.02"
"13.08.2021 12:00 - 13.08.2021 13:00","83.75"
"13.08.2021 13:00 - 13.08.2021 14:00","74.05"
"13.08.2021 14:00 - 13.08.2021 15:00","72.04"
"13.08.2021 15:00 - 13.08.2021 16:00","71.86"
"13.08.2021 16:00 - 13.08.2021 17:00","72.58"
"13.08.2021 17:00 - 13.08.2021 18:00","86.13"
"13.08.2021 18:00 - 13.08.2021 19:00","104.91"
"13.08.2021 19:00 - 13.08.2021 20:00","117.48"
"13.08.2021 20:00 - 13.08.2021 21:00","115.68"
"13.08.2021 21:00 - 13.08.2021 22:00","115.77"
"13.08.2021 22:00 - 13.08.2021 23:00","106.91"
"13.08.2021 23:00 - 14.08.2021 00:00","92.19"
"14.08.2021 00:00 - 14.08.2021 01:00","78.02"
"14.08.2021 01:00 - 14.08.2021 02:00","75.66"
"14.08.2021 02:00 - 14.08.2021 03:00","71.55"
"14.08.2021 03:00 - 14.08.2021 04:00","69.45"
"14.08.2021 04:00 - 14.08.2021 05:00","69.06"
"14.08.2021 05:00 - 14.08.2021 06:00","69.20"
"14.08.2021 06:00 - 14.08.2021 07:00","69.70"
"14.08.2021 07:00 - 14.08.2021 08:00","73.51"
"14.08.2021 08:00 - 14.08.2021 09:00","75.02"
"14.08.2021 09:00 - 14.08.2021 10:00","73.86"
"14.08.2021 10:00 - 14.08.2021 11:00","63.26"
"14.08.2021 11:00 - 14.08.2021 12:00","58.08"
"14.08.2021 12:00 - 14.08.2021 13:00","50.44"
"14.08.2021 13:00 - 14.08.2021 14:00","1.48"
"14.08.2021 14:00 - 14.08.2021 15:00","0.00"
"14.08.2021 15:00 - 14.08.2021 16:00","9.89"
"14.08.2021 16:00 - 14.08.2021 17:00","50.35"
"14.08.2021 17:00 - 14.08.2021 18:00","58.85"
"14.08.2021 18:00 - 14.08.2021 19:00","76.96"
"14.08.2021 19:00 - 14.08.2021 20:00","86.94"
"14.08.2021 20:00 - 14.08.2021 21:00","88.56"
"14.08.2021 21:00 - 14.08.2021 22:00","87.90"
"14.08.2021 22:00 - 14.08.2021 23:00","85.03"
"14.08.2021 23:00 - 15.08.2021 00:00","78.08"
"15.08.2021 00:00 - 15.08.2021 01:00","73.70"
"15.08.2021 01:00 - 15.08.2021 02:00","69.88"
"15.08.2021 02:00 - 15.08.2021 03:00","64.92"
"15.08.2021 03:00 - 15.08.2021 04:00","62.43"
"15.08.2021 04:00 - 15.08.2021 05:00","59.72"
"15.08.2021 05:00 - 15.08.2021 06:00","59.98"
"15.08.2021 06:00 - 15.08.2021 07:00","59.01"
"15.08.2021 07:00 - 15.08.2021 08:00","58.34"
"15.08.2021 08:00 - 15.08.2021 09:00","57.53"
"15.08.2021 09:00 - 15.08.2021 10:00","53.54"
"15.08.2021 10:00 - 15.08.2021 11:00","53.67"
"15.08.2021 11:00 - 15.08.2021 12:00","53.05"
"15.08.2021 12:00 - 15.08.2021 13:00","52.95"
"15.08.2021 13:00 - 15.08.2021 14:00","30.06"
"15.08.2021 14:00 - 15.08.2021 15:00","12.50"
"15.08.2021 15:00 - 15.08.2021 16:00","20.41"
"15.08.2021 16:00 - 15.08.2021 17:00","51.32"
"15.08.2021 17:00 - 15.08.2021 18:00","67.05"
"15.08.2021 18:00 - 15.08.2021 19:00","82.50"
"15.08.2021 19:00 - 15.08.2021 20:00","91.99"
"15.08.2021 20:00 - 15.08.2021 21:00","94.95"
"15.08.2021 21:00 - 15.08.2021 22:00","93.45"
"15.08.2021 22:00 - 15.08.2021 23:00","86.77"
"15.08.2021 23:00 - 16.08.2021 00:00","76.95"
"16.08.2021 00:00 - 16.08.2021 01:00","68.19"
"16.08.2021 01:00 - 16.08.2021 02:00","65.03"
"16.08.2021 02:00 - 16.08.2021 03:00","62.08"
"16.08.2021 03:00 - 16.08.2021 04:00","60.13"
"16.08.2021 04:00 - 16.08.2021 05:00","60.82"
"16.08.2021 05:00 - 16.08.2021 06:00","68.06"
"16.08.2021 06:00 - 16.08.2021 07:00","90.25"
"16.08.2021 07:00 - 16.08.2021 08:00","100.48"
"16.08.2021 08:00 - 16.08.2021 09:00","96.73"
"16.08.2021 09:00 - 16.08.2021 10:00","80.00"
"16.08.2021 10:00 - 16.08.2021 11:00","69.84"
"16.08.2021 11:00 - 16.08.2021 12:00","53.13"
"16.08.2021 12:00 - 16.08.2021 13:00","58.10"
"16.08.2021 13:00 - 16.08.2021 14:00","48.89"
"16.08.2021 14:00 - 16.08.2021 15:00","42.74"
"16.08.2021 15:00 - 16.08.2021 16:00","53.07"
"16.08.2021 16:00 - 16.08.2021 17:00","53.15"
"16.08.2021 17:00 - 16.08.2021 18:00","58.15"
"16.08.2021 18:00 - 16.08.2021 19:00","71.00"
"16.08.2021 19:00 - 16.08.2021 20:00","78.13"
"16.08.2021 20:00 - 16.08.2021 21:00","79.12"
"16.08.2021 21:00 - 16.08.2021 22:00","76.90"
"16.08.2021 22:00 - 16.08.2021 23:00","68.40"
"16.08.2021 23:00 - 17.08.2021 00:00","60.02"
"17.08.2021 00:00 - 17.08.2021 01:00","59.64"
"17.08.2021 01:00 - 17.08.2021 02:00","49.93"
"17.08.2021 02:00 - 17.08.2021 03:00","39.94"
"17.08.2021 03:00 - 17.08.2021 04:00","14.47"
"17.08.2021 04:00 - 17.08.2021 05:00","33.88"
"17.08.2021 05:00 - 17.08.2021 06:00","50.06"
"17.08.2021 06:00 - 17.08.2021 07:00","64.35"
"17.08.2021 07:00 - 17.08.2021 08:00","73.49"
"17.08.2021 08:00 - 17.08.2021 09:00","69.09"
"17.08.2021 09:00 - 17.08.2021 10:00","54.34"
"17.08.2021 10:00 - 17.08.2021 11:00","46.62"
"17.08.2021 11:00 - 17.08.2021 12:00","30.52"
"17.08.2021 12:00 - 17.08.2021 13:00","28.91"
"17.08.2021 13:00 - 17.08.2021 14:00","41.15"
"17.08.2021 14:00 - 17.08.2021 15:00","39.99"
"17.08.2021 15:00 - 17.08.2021 16:00","49.08"
"17.08.2021 16:00 - 17.08.2021 17:00","54.18"
"17.08.2021 17:00 - 17.08.2021 18:00","69.09"
"17.08.2021 18:00 - 17.08.2021 19:00","85.36"
"17.08.2021 19:00 - 17.08.2021 20:00","92.39"
"17.08.2021 20:00 - 17.08.2021 21:00","92.71"
"17.08.2021 21:00 - 17.08.2021 22:00","88.97"
"17.08.2021 22:00 - 17.08.2021 23:00","81.03"
"17.08.2021 23:00 - 18.08.2021 00:00","68.22"
"18.08.2021 00:00 - 18.08.2021 01:00","61.65"
"18.08.2021 01:00 - 18.08.2021 02:00","60.62"
"18.08.2021 02:00 - 18.08.2021 03:00","61.83"
"18.08.2021 03:00 - 18.08.2021 04:00","63.28"
"18.08.2021 04:00 - 18.08.2021 05:00","62.83"
"18.08.2021 05:00 - 18.08.2021 06:00","65.85"
"18.08.2021 06:00 - 18.08.2021 07:00","80.05"
"18.08.2021 07:00 - 18.08.2021 08:00","95.97"
"18.08.2021 08:00 - 18.08.2021 09:00","98.10"
"18.08.2021 09:00 - 18.08.2021 10:00","96.52"
"18.08.2021 10:00 - 18.08.2021 11:00","97.20"
"18.08.2021 11:00 - 18.08.2021 12:00","95.92"
"18.08.2021 12:00 - 18.08.2021 13:00","83.69"
"18.08.2021 13:00 - 18.08.2021 14:00","72.54"
"18.08.2021 14:00 - 18.08.2021 15:00","68.01"
"18.08.2021 15:00 - 18.08.2021 16:00","66.75"
"18.08.2021 16:00 - 18.08.2021 17:00","66.77"
"18.08.2021 17:00 - 18.08.2021 18:00","75.04"
"18.08.2021 18:00 - 18.08.2021 19:00","88.38"
"18.08.2021 19:00 - 18.08.2021 20:00","96.00"
"18.08.2021 20:00 - 18.08.2021 21:00","95.74"
"18.08.2021 21:00 - 18.08.2021 22:00","87.71"
"18.08.2021 22:00 - 18.08.2021 23:00","80.00"
"18.08.2021 23:00 - 19.08.2021 00:00","66.99"
"19.08.2021 00:00 - 19.08.2021 01:00","65.60"
"19.08.2021 01:00 - 19.08.2021 02:00","64.69"
"19.08.2021 02:00 - 19.08.2021 03:00","62.69"
"19.08.2021 03:00 - 19.08.2021 04:00","61.01"
"19.08.2021 04:00 - 19.08.2021 05:00","60.54"
"19.08.2021 05:00 - 19.08.2021 06:00","66.01"
"19.08.2021 06:00 - 19.08.2021 07:00","83.90"
"19.08.2021 07:00 - 19.08.2021 08:00","99.03"
"19.08.2021 08:00 - 19.08.2021 09:00","102.02"
"19.08.2021 09:00 - 19.08.2021 10:00","94.27"
"19.08.2021 10:00 - 19.08.2021 11:00","89.91"
"19.08.2021 11:00 - 19.08.2021 12:00","90.74"
"19.08.2021 12:00 - 19.08.2021 13:00","92.65"
"19.08.2021 13:00 - 19.08.2021 14:00","94.13"
"19.08.2021 14:00 - 19.08.2021 15:00","89.90"
"19.08.2021 15:00 - 19.08.2021 16:00","89.91"
"19.08.2021 16:00 - 19.08.2021 17:00","91.93"
"19.08.2021 17:00 - 19.08.2021 18:00","100.51"
"19.08.2021 18:00 - 19.08.2021 19:00","114.94"
"19.08.2021 19:00 - 19.08.2021 20:00","126.78"
"19.08.2021 20:00 - 19.08.2021 21:00","128.12"
"19.08.2021 21:00 - 19.08.2021 22:00","119.61"
"19.08.2021 22:00 - 19.08.2021 23:00","110.07"
"19.08.2021 23:00 - 20.08.2021 00:00","100.00"
"20.08.2021 00:00 - 20.08.2021 01:00","95.00"
"20.08.2021 01:00 - 20.08.2021 02:00","86.22"
"20.08.2021 02:00 - 20.08.2021 03:00","83.73"
"20.08.2021 03:00 - 20.08.2021 04:00","83.20"
"20.08.2021 04:00 - 20.08.2021 05:00","83.96"
"20.08.2021 05:00 - 20.08.2021 06:00","88.70"
"20.08.2021 06:00 - 20.08.2021 07:00","103.11"
"20.08.2021 07:00 - 20.08.2021 08:00","119.00"
"20.08.2021 08:00 - 20.08.2021 09:00","124.74"
"20.08.2021 09:00 - 20.08.2021 10:00","114.00"
"20.08.2021 10:00 - 20.08.2021 11:00","106.99"
"20.08.2021 11:00 - 20.08.2021 12:00","105.00"
"20.08.2021 12:00 - 20.08.2021 13:00","99.11"
"20.08.2021 13:00 - 20.08.2021 14:00","90.00"
"20.08.2021 14:00 - 20.08.2021 15:00","85.18"
"20.08.2021 15:00 - 20.08.2021 16:00","84.81"
"20.08.2021 16:00 - 20.08.2021 17:00","90.01"
"20.08.2021 17:00 - 20.08.2021 18:00","103.31"
"20.08.2021 18:00 - 20.08.2021 19:00","113.27"
"20.08.2021 19:00 - 20.08.2021 20:00","125.22"
"20.08.2021 20:00 - 20.08.2021 21:00","126.14"
"20.08.2021 21:00 - 20.08.2021 22:00","124.93"
"20.08.2021 22:00 - 20.08.2021 23:00","110.69"
"20.08.2021 23:00 - 21.08.2021 00:00","106.00"
"21.08.2021 00:00 - 21.08.2021 01:00","102.51"
"21.08.2021 01:00 - 21.08.2021 02:00","95.20"
"21.08.2021 02:00 - 21.08.2021 03:00","88.52"
"21.08.2021 03:00 - 21.08.2021 04:00","83.31"
"21.08.2021 04:00 - 21.08.2021 05:00","81.41"
"21.08.2021 05:00 - 21.08.2021 06:00","82.17"
"21.08.2021 06:00 - 21.08.2021 07:00","90.20"
"21.08.2021 07:00 - 21.08.2021 08:00","93.11"
"21.08.2021 08:00 - 21.08.2021 09:00","96.43"
"21.08.2021 09:00 - 21.08.2021 10:00","92.40"
"21.08.2021 10:00 - 21.08.2021 11:00","81.95"
"21.08.2021 11:00 - 21.08.2021 12:00","79.11"
"21.08.2021 12:00 - 21.08.2021 13:00","78.79"
"21.08.2021 13:00 - 21.08.2021 14:00","77.06"
"21.08.2021 14:00 - 21.08.2021 15:00","76.59"
"21.08.2021 15:00 - 21.08.2021 16:00","78.06"
"21.08.2021 16:00 - 21.08.2021 17:00","79.99"
"21.08.2021 17:00 - 21.08.2021 18:00","95.27"
"21.08.2021 18:00 - 21.08.2021 19:00","107.92"
"21.08.2021 19:00 - 21.08.2021 20:00","112.08"
"21.08.2021 20:00 - 21.08.2021 21:00","112.17"
"21.08.2021 21:00 - 21.08.2021 22:00","108.00"
"21.08.2021 22:00 - 21.08.2021 23:00","106.00"
"21.08.2021 23:00 - 22.08.2021 00:00","96.86"
"22.08.2021 00:00 - 22.08.2021 01:00","84.91"
"22.08.2021 01:00 - 22.08.2021 02:00","78.90"
"22.08.2021 02:00 - 22.08.2021 03:00","74.99"
"22.08.2021 03:00 - 22.08.2021 04:00","72.18"
"22.08.2021 04:00 - 22.08.2021 05:00","70.05"
"22.08.2021 05:00 - 22.08.2021 06:00","67.34"
"22.08.2021 06:00 - 22.08.2021 07:00","67.90"
"22.08.2021 07:00 - 22.08.2021 08:00","70.37"
"22.08.2021 08:00 - 22.08.2021 09:00","74.47"
"22.08.2021 09:00 - 22.08.2021 10:00","76.84"
"22.08.2021 10:00 - 22.08.2021 11:00","76.16"
"22.08.2021 11:00 - 22.08.2021 12:00","77.31"
"22.08.2021 12:00 - 22.08.2021 13:00","76.44"
"22.08.2021 13:00 - 22.08.2021 14:00","71.20"
"22.08.2021 14:00 - 22.08.2021 15:00","68.80"
"22.08.2021 15:00 - 22.08.2021 16:00","66.75"
"22.08.2021 16:00 - 22.08.2021 17:00","68.60"
"22.08.2021 17:00 - 22.08.2021 18:00","81.59"
"22.08.2021 18:00 - 22.08.2021 19:00","88.02"
"22.08.2021 19:00 - 22.08.2021 20:00","95.00"
"22.08.2021 20:00 - 22.08.2021 21:00","97.96"
"22.08.2021 21:00 - 22.08.2021 22:00","95.48"
"22.08.2021 22:00 - 22.08.2021 23:00","90.10"
"22.08.2021 23:00 - 23.08.2021 00:00","81.95"
"23.08.2021 00:00 - 23.08.2021 01:00","76.15"
"23.08.2021 01:00 - 23.08.2021 02:00","75.93"
"23.08.2021 02:00 - 23.08.2021 03:00","75.70"
"23.08.2021 03:00 - 23.08.2021 04:00","73.52"
"23.08.2021 04:00 - 23.08.2021 05:00","75.85"
"23.08.2021 05:00 - 23.08.2021 06:00","78.44"
"23.08.2021 06:00 - 23.08.2021 07:00","94.39"
"23.08.2021 07:00 - 23.08.2021 08:00","111.29"
"23.08.2021 08:00 - 23.08.2021 09:00","115.94"
"23.08.2021 09:00 - 23.08.2021 10:00","114.18"
"23.08.2021 10:00 - 23.08.2021 11:00","106.98"
"23.08.2021 11:00 - 23.08.2021 12:00","103.47"
"23.08.2021 12:00 - 23.08.2021 13:00","99.44"
"23.08.2021 13:00 - 23.08.2021 14:00","94.00"
"23.08.2021 14:00 - 23.08.2021 15:00","85.69"
"23.08.2021 15:00 - 23.08.2021 16:00","83.95"
"23.08.2021 16:00 - 23.08.2021 17:00","83.95"
"23.08.2021 17:00 - 23.08.2021 18:00","94.96"
"23.08.2021 18:00 - 23.08.2021 19:00","105.00"
"23.08.2021 19:00 - 23.08.2021 20:00","114.18"
"23.08.2021 20:00 - 23.08.2021 21:00","110.99"
"23.08.2021 21:00 - 23.08.2021 22:00","102.08"
"23.08.2021 22:00 - 23.08.2021 23:00","93.92"
"23.08.2021 23:00 - 24.08.2021 00:00","83.10"
"24.08.2021 00:00 - 24.08.2021 01:00","80.75"
"24.08.2021 01:00 - 24.08.2021 02:00","78.71"
"24.08.2021 02:00 - 24.08.2021 03:00","78.40"
"24.08.2021 03:00 - 24.08.2021 04:00","79.21"
"24.08.2021 04:00 - 24.08.2021 05:00","80.77"
"24.08.2021 05:00 - 24.08.2021 06:00","85.01"
"24.08.2021 06:00 - 24.08.2021 07:00","100.20"
"24.08.2021 07:00 - 24.08.2021 08:00","110.45"
"24.08.2021 08:00 - 24.08.2021 09:00","122.00"
"24.08.2021 09:00 - 24.08.2021 10:00","106.97"
"24.08.2021 10:00 - 24.08.2021 11:00","101.00"
"24.08.2021 11:00 - 24.08.2021 12:00","96.00"
"24.08.2021 12:00 - 24.08.2021 13:00","88.00"
"24.08.2021 13:00 - 24.08.2021 14:00","81.72"
"24.08.2021 14:00 - 24.08.2021 15:00","80.43"
"24.08.2021 15:00 - 24.08.2021 16:00","81.68"
"24.08.2021 16:00 - 24.08.2021 17:00","88.09"
"24.08.2021 17:00 - 24.08.2021 18:00","102.85"
"24.08.2021 18:00 - 24.08.2021 19:00","109.52"
"24.08.2021 19:00 - 24.08.2021 20:00","122.50"
"24.08.2021 20:00 - 24.08.2021 21:00","119.44"
"24.08.2021 21:00 - 24.08.2021 22:00","106.30"
"24.08.2021 22:00 - 24.08.2021 23:00","100.00"
"24.08.2021 23:00 - 25.08.2021 00:00","89.59"
"25.08.2021 00:00 - 25.08.2021 01:00","82.89"
"25.08.2021 01:00 - 25.08.2021 02:00","81.70"
"25.08.2021 02:00 - 25.08.2021 03:00","81.36"
"25.08.2021 03:00 - 25.08.2021 04:00","81.26"
"25.08.2021 04:00 - 25.08.2021 05:00","80.45"
"25.08.2021 05:00 - 25.08.2021 06:00","86.17"
"25.08.2021 06:00 - 25.08.2021 07:00","101.31"
"25.08.2021 07:00 - 25.08.2021 08:00","107.28"
"25.08.2021 08:00 - 25.08.2021 09:00","106.94"
"25.08.2021 09:00 - 25.08.2021 10:00","95.12"
"25.08.2021 10:00 - 25.08.2021 11:00","84.46"
"25.08.2021 11:00 - 25.08.2021 12:00","81.73"
"25.08.2021 12:00 - 25.08.2021 13:00","74.03"
"25.08.2021 13:00 - 25.08.2021 14:00","69.40"
"25.08.2021 14:00 - 25.08.2021 15:00","63.34"
"25.08.2021 15:00 - 25.08.2021 16:00","64.64"
"25.08.2021 16:00 - 25.08.2021 17:00","71.84"
"25.08.2021 17:00 - 25.08.2021 18:00","80.95"
"25.08.2021 18:00 - 25.08.2021 19:00","90.79"
"25.08.2021 19:00 - 25.08.2021 20:00","94.24"
"25.08.2021 20:00 - 25.08.2021 21:00","96.00"
"25.08.2021 21:00 - 25.08.2021 22:00","91.91"
"25.08.2021 22:00 - 25.08.2021 23:00","81.73"
"25.08.2021 23:00 - 26.08.2021 00:00","73.89"
"26.08.2021 00:00 - 26.08.2021 01:00","74.10"
"26.08.2021 01:00 - 26.08.2021 02:00","71.05"
"26.08.2021 02:00 - 26.08.2021 03:00","70.98"
"26.08.2021 03:00 - 26.08.2021 04:00","69.95"
"26.08.2021 04:00 - 26.08.2021 05:00","71.95"
"26.08.2021 05:00 - 26.08.2021 06:00","78.10"
"26.08.2021 06:00 - 26.08.2021 07:00","96.07"
"26.08.2021 07:00 - 26.08.2021 08:00","112.00"
"26.08.2021 08:00 - 26.08.2021 09:00","124.65"
"26.08.2021 09:00 - 26.08.2021 10:00","113.35"
"26.08.2021 10:00 - 26.08.2021 11:00","104.23"
"26.08.2021 11:00 - 26.08.2021 12:00","102.35"
"26.08.2021 12:00 - 26.08.2021 13:00","100.15"
"26.08.2021 13:00 - 26.08.2021 14:00","91.62"
"26.08.2021 14:00 - 26.08.2021 15:00","85.56"
"26.08.2021 15:00 - 26.08.2021 16:00","82.22"
"26.08.2021 16:00 - 26.08.2021 17:00","79.85"
"26.08.2021 17:00 - 26.08.2021 18:00","91.21"
"26.08.2021 18:00 - 26.08.2021 19:00","100.91"
"26.08.2021 19:00 - 26.08.2021 20:00","107.63"
"26.08.2021 20:00 - 26.08.2021 21:00","109.00"
"26.08.2021 21:00 - 26.08.2021 22:00","102.91"
"26.08.2021 22:00 - 26.08.2021 23:00","95.92"
"26.08.2021 23:00 - 27.08.2021 00:00","87.00"
"27.08.2021 00:00 - 27.08.2021 01:00","87.12"
"27.08.2021 01:00 - 27.08.2021 02:00","80.72"
"27.08.2021 02:00 - 27.08.2021 03:00","79.74"
"27.08.2021 03:00 - 27.08.2021 04:00","78.48"
"27.08.2021 04:00 - 27.08.2021 05:00","78.09"
"27.08.2021 05:00 - 27.08.2021 06:00","83.98"
"27.08.2021 06:00 - 27.08.2021 07:00","101.63"
"27.08.2021 07:00 - 27.08.2021 08:00","113.00"
"27.08.2021 08:00 - 27.08.2021 09:00","117.19"
"27.08.2021 09:00 - 27.08.2021 10:00","108.97"
"27.08.2021 10:00 - 27.08.2021 11:00","104.82"
"27.08.2021 11:00 - 27.08.2021 12:00","102.54"
"27.08.2021 12:00 - 27.08.2021 13:00","99.59"
"27.08.2021 13:00 - 27.08.2021 14:00","91.90"
"27.08.2021 14:00 - 27.08.2021 15:00","84.31"
"27.08.2021 15:00 - 27.08.2021 16:00","82.32"
"27.08.2021 16:00 - 27.08.2021 17:00","84.80"
"27.08.2021 17:00 - 27.08.2021 18:00","96.60"
"27.08.2021 18:00 - 27.08.2021 19:00","104.80"
"27.08.2021 19:00 - 27.08.2021 20:00","113.74"
"27.08.2021 20:00 - 27.08.2021 21:00","113.07"
"27.08.2021 21:00 - 27.08.2021 22:00","104.80"
"27.08.2021 22:00 - 27.08.2021 23:00","99.90"
