Time,currentactivepower,plantactivepower,PriceInMWh,PriceInkWh
1.68942E+12,18.79313542,-18.48404167,-0.13,-0.00013
1.68943E+12,25.90146458,-22.55199583,-1.03,-0.00103
1.68943E+12,10.22520625,-10.55407083,-0.1,-0.0001
1.68943E+12,19.815575,-19.84808542,0.02,0.00002
1.68944E+12,15.55026042,-15.73879167,15.54,0.01554
1.68944E+12,8.540229167,-9.496552083,74.51,0.07451
1.68944E+12,2.099864583,-2.603583333,84.18,0.08418
1.68945E+12,0.00876875,-4.6793625,88.36,0.08836
1.68945E+12,0,-10.938125,83.63,0.08363
1.68945E+12,0,-12.04210417,83.02,0.08302
1.68946E+12,0,-10.60235417,71.82,0.07182
1.68946E+12,0,-10.50192708,56.94,0.05694
1.68947E+12,0,-11.82263542,19.7,0.0197
1.68947E+12,0,-11.23715625,2.68,0.00268
1.68947E+12,0,-9.088239583,0.07,0.00007
1.68948E+12,0,-10.93083333,0,0
1.68948E+12,1.115820833,-10.85303958,-0.42,-0.00042
1.68948E+12,4.234564583,-10.6712,-2.07,-0.00207
1.68949E+12,10.83155417,-12.34429375,-1.1,-0.0011
1.68949E+12,11.02881667,-11.1719625,-2.09,-0.00209
1.68949E+12,16.9861375,-15.87341875,-9.92,-0.00992
1.6895E+12,29.1267875,-23.00027708,-19.34,-0.01934
1.6895E+12,30.70088958,-23.42788958,-24.8,-0.0248
1.68951E+12,37.45902917,-17.72519583,-38.39,-0.03839
1.68951E+12,31.07435208,-12.79126875,-50.09,-0.05009
1.68951E+12,34.73577083,-12.748,-60.04,-0.06004
1.68952E+12,32.76427708,-13.80419375,-48.31,-0.04831
1.68952E+12,25.25792708,-14.04328125,-26.57,-0.02657
1.68952E+12,16.81043333,-14.2704125,-5.01,-0.00501
1.68953E+12,9.875758333,-9.447279167,30.61,0.03061
1.68953E+12,1.978183333,-2.4604125,92.51,0.09251
1.68953E+12,0.073635417,-0.46809375,100.76,0.10076
1.68954E+12,0,-6.637927083,109.21,0.10921
1.68954E+12,0,-6.738760417,114.38,0.11438
1.68954E+12,0,-9.485541667,110,0.11
1.68955E+12,0,-9.821958333,109.26,0.10926
1.68955E+12,0,-10.246,102.17,0.10217
1.68956E+12,0,-10.21439583,95.19,0.09519
1.68956E+12,0,-11.34640625,88.1,0.0881
1.68956E+12,0,-9.064947917,90.59,0.09059
1.68957E+12,1.407802083,-10.61107292,97.23,0.09723
1.68957E+12,6.03794375,-13.41654792,120.02,0.12002
1.68957E+12,13.85702708,-17.43857917,129.66,0.12966
1.68958E+12,21.45541458,-21.8421125,112.47,0.11247
1.68958E+12,27.79683125,-27.21755,94.14,0.09414
1.68958E+12,31.491225,-28.92283958,77.9,0.0779
1.68959E+12,28.44865208,-25.279225,45.07,0.04507
1.68959E+12,35.00852292,-31.14718958,0.88,0.00088
1.6896E+12,38.39081458,-31.36449167,0.63,0.00063
1.6896E+12,35.23983542,-26.73429375,0,0
1.6896E+12,31.8405375,-23.56775625,7.18,0.00718
1.68961E+12,24.57210208,-20.17994583,48.72,0.04872
1.68961E+12,17.29453542,-16.46931667,75.51,0.07551
1.68961E+12,9.369933333,-9.283964583,85.28,0.08528
1.68962E+12,2.576095833,-3.706147917,106.52,0.10652
1.68962E+12,0.0664625,-4.296972917,119.78,0.11978
1.68962E+12,0,-7.18234375,124.31,0.12431
1.68963E+12,0,-8.729989583,125,0.125
1.68963E+12,0,-10.01411458,110.44,0.11044
1.68963E+12,0,-9.441416667,100.05,0.10005
1.68964E+12,0,-10.23742708,96.3,0.0963
1.68964E+12,0,-9.402177083,87.79,0.08779
1.68965E+12,0,-9.801072917,86.92,0.08692
1.68965E+12,0.000847917,-9.870816667,88.04,0.08804
1.68965E+12,1.473402083,-10.73085,96.35,0.09635
1.68966E+12,7.183677083,-12.3668125,103.39,0.10339
1.68966E+12,15.30660625,-19.59487708,114.25,0.11425
1.68966E+12,24.6053625,-24.80487292,110,0.11
1.68967E+12,32.65942083,-32.26010833,93.22,0.09322
1.68967E+12,30.241725,-28.42019375,82.74,0.08274
1.68967E+12,23.2182,-21.51758542,78.81,0.07881
1.68968E+12,27.23076458,-24.76385833,79.16,0.07916
1.68968E+12,35.27718333,-28.63587083,81.18,0.08118
1.68969E+12,36.454825,-27.41787708,90.03,0.09003
1.68969E+12,31.59538125,-22.00442292,89.94,0.08994
1.68969E+12,23.65018958,-18.7658875,87.5,0.0875
1.6897E+12,14.79384583,-14.76209583,96.78,0.09678
1.6897E+12,8.702216667,-9.211352083,121.62,0.12162
1.6897E+12,0.55063125,-2.0867875,168.26,0.16826
1.68971E+12,0.611079167,-8.363860417,188,0.188
1.68971E+12,0,-9.056,163.8,0.1638
1.68971E+12,0,-10.95355208,139.26,0.13926
1.68972E+12,0,-10.90665625,111.76,0.11176
1.68972E+12,0,-10.8624375,108.11,0.10811
1.68972E+12,0,-10.8128125,101,0.101
1.68973E+12,0,-9.88034375,97.25,0.09725
1.68973E+12,0,-10.24352083,96.85,0.09685
1.68974E+12,0,-10.56103125,98.08,0.09808
1.68974E+12,1.454802083,-11.6306875,104.43,0.10443
