"MTU (CET/CEST)","Area","Resolution","Price","Currency"
              04/07/2022 11:00 - 04/07/2022 12:00,"BZN|DE-LU","PT60M",221.30,"EUR"
              04/07/2022 12:00 - 04/07/2022 13:00,"BZN|DE-LU","PT60M",181.80,"EUR"
              04/07/2022 13:00 - 04/07/2022 14:00,"BZN|DE-LU","PT60M",184.36,"EUR"
              04/07/2022 14:00 - 04/07/2022 15:00,"BZN|DE-LU","PT60M",172.35,"EUR"
              04/07/2022 15:00 - 04/07/2022 16:00,"BZN|DE-LU","PT60M",171.19,"EUR"
              04/07/2022 16:00 - 04/07/2022 17:00,"BZN|DE-LU","PT60M",182.64,"EUR"
              04/07/2022 17:00 - 04/07/2022 18:00,"BZN|DE-LU","PT60M",211.10,"EUR"
              04/07/2022 18:00 - 04/07/2022 19:00,"BZN|DE-LU","PT60M",329.99,"EUR"
              04/07/2022 19:00 - 04/07/2022 20:00,"BZN|DE-LU","PT60M",379.62,"EUR"
              04/07/2022 20:00 - 04/07/2022 21:00,"BZN|DE-LU","PT60M",398.72,"EUR"
              04/07/2022 21:00 - 04/07/2022 22:00,"BZN|DE-LU","PT60M",385.52,"EUR"
              04/07/2022 22:00 - 04/07/2022 23:00,"BZN|DE-LU","PT60M",396.92,"EUR"
              04/07/2022 23:00 - 05/07/2022 00:00,"BZN|DE-LU","PT60M",379.64,"EUR"
              05/07/2022 00:00 - 05/07/2022 01:00,"BZN|DE-LU","PT60M",359.96,"EUR"
              05/07/2022 01:00 - 05/07/2022 02:00,"BZN|DE-LU","PT60M",319.24,"EUR"
              05/07/2022 02:00 - 05/07/2022 03:00,"BZN|DE-LU","PT60M",309.33,"EUR"
              05/07/2022 03:00 - 05/07/2022 04:00,"BZN|DE-LU","PT60M",301.08,"EUR"
              05/07/2022 04:00 - 05/07/2022 05:00,"BZN|DE-LU","PT60M",299.91,"EUR"
              05/07/2022 05:00 - 05/07/2022 06:00,"BZN|DE-LU","PT60M",324.82,"EUR"
              05/07/2022 06:00 - 05/07/2022 07:00,"BZN|DE-LU","PT60M",380.47,"EUR"
              05/07/2022 07:00 - 05/07/2022 08:00,"BZN|DE-LU","PT60M",412.59,"EUR"
              05/07/2022 08:00 - 05/07/2022 09:00,"BZN|DE-LU","PT60M",409.61,"EUR"
              05/07/2022 09:00 - 05/07/2022 10:00,"BZN|DE-LU","PT60M",338.68,"EUR"
              05/07/2022 10:00 - 05/07/2022 11:00,"BZN|DE-LU","PT60M",283.72,"EUR"
              05/07/2022 11:00 - 05/07/2022 12:00,"BZN|DE-LU","PT60M",286.60,"EUR"
              05/07/2022 12:00 - 05/07/2022 13:00,"BZN|DE-LU","PT60M",243.95,"EUR"
              05/07/2022 13:00 - 05/07/2022 14:00,"BZN|DE-LU","PT60M",227.94,"EUR"
              05/07/2022 14:00 - 05/07/2022 15:00,"BZN|DE-LU","PT60M",210.95,"EUR"
              05/07/2022 15:00 - 05/07/2022 16:00,"BZN|DE-LU","PT60M",213.06,"EUR"
              05/07/2022 16:00 - 05/07/2022 17:00,"BZN|DE-LU","PT60M",237.80,"EUR"
              05/07/2022 17:00 - 05/07/2022 18:00,"BZN|DE-LU","PT60M",301.14,"EUR"
              05/07/2022 18:00 - 05/07/2022 19:00,"BZN|DE-LU","PT60M",336.25,"EUR"
              05/07/2022 19:00 - 05/07/2022 20:00,"BZN|DE-LU","PT60M",363.98,"EUR"
              05/07/2022 20:00 - 05/07/2022 21:00,"BZN|DE-LU","PT60M",370.00,"EUR"
              05/07/2022 21:00 - 05/07/2022 22:00,"BZN|DE-LU","PT60M",370.40,"EUR"
              05/07/2022 22:00 - 05/07/2022 23:00,"BZN|DE-LU","PT60M",378.29,"EUR"
              05/07/2022 23:00 - 06/07/2022 00:00,"BZN|DE-LU","PT60M",361.16,"EUR"
              06/07/2022 00:00 - 06/07/2022 01:00,"BZN|DE-LU","PT60M",351.39,"EUR"
              06/07/2022 01:00 - 06/07/2022 02:00,"BZN|DE-LU","PT60M",309.30,"EUR"
              06/07/2022 02:00 - 06/07/2022 03:00,"BZN|DE-LU","PT60M",293.84,"EUR"
              06/07/2022 03:00 - 06/07/2022 04:00,"BZN|DE-LU","PT60M",280.18,"EUR"
              06/07/2022 04:00 - 06/07/2022 05:00,"BZN|DE-LU","PT60M",299.44,"EUR"
              06/07/2022 05:00 - 06/07/2022 06:00,"BZN|DE-LU","PT60M",322.79,"EUR"
              06/07/2022 06:00 - 06/07/2022 07:00,"BZN|DE-LU","PT60M",389.83,"EUR"
              06/07/2022 07:00 - 06/07/2022 08:00,"BZN|DE-LU","PT60M",413.89,"EUR"
              06/07/2022 08:00 - 06/07/2022 09:00,"BZN|DE-LU","PT60M",406.93,"EUR"
              06/07/2022 09:00 - 06/07/2022 10:00,"BZN|DE-LU","PT60M",355.89,"EUR"
              06/07/2022 10:00 - 06/07/2022 11:00,"BZN|DE-LU","PT60M",287.90,"EUR"
              06/07/2022 11:00 - 06/07/2022 12:00,"BZN|DE-LU","PT60M",265.29,"EUR"
              06/07/2022 12:00 - 06/07/2022 13:00,"BZN|DE-LU","PT60M",230.68,"EUR"
              06/07/2022 13:00 - 06/07/2022 14:00,"BZN|DE-LU","PT60M",204.77,"EUR"
              06/07/2022 14:00 - 06/07/2022 15:00,"BZN|DE-LU","PT60M",172.44,"EUR"
              06/07/2022 15:00 - 06/07/2022 16:00,"BZN|DE-LU","PT60M",163.21,"EUR"
              06/07/2022 16:00 - 06/07/2022 17:00,"BZN|DE-LU","PT60M",180.04,"EUR"
              06/07/2022 17:00 - 06/07/2022 18:00,"BZN|DE-LU","PT60M",239.08,"EUR"
              06/07/2022 18:00 - 06/07/2022 19:00,"BZN|DE-LU","PT60M",313.06,"EUR"
              06/07/2022 19:00 - 06/07/2022 20:00,"BZN|DE-LU","PT60M",376.09,"EUR"
              06/07/2022 20:00 - 06/07/2022 21:00,"BZN|DE-LU","PT60M",387.46,"EUR"
              06/07/2022 21:00 - 06/07/2022 22:00,"BZN|DE-LU","PT60M",381.59,"EUR"
              06/07/2022 22:00 - 06/07/2022 23:00,"BZN|DE-LU","PT60M",379.91,"EUR"
              06/07/2022 23:00 - 07/07/2022 00:00,"BZN|DE-LU","PT60M",279.85,"EUR"
              07/07/2022 00:00 - 07/07/2022 01:00,"BZN|DE-LU","PT60M",267.50,"EUR"
              07/07/2022 01:00 - 07/07/2022 02:00,"BZN|DE-LU","PT60M",209.00,"EUR"
              07/07/2022 02:00 - 07/07/2022 03:00,"BZN|DE-LU","PT60M",195.77,"EUR"
              07/07/2022 03:00 - 07/07/2022 04:00,"BZN|DE-LU","PT60M",189.58,"EUR"
              07/07/2022 04:00 - 07/07/2022 05:00,"BZN|DE-LU","PT60M",186.88,"EUR"
              07/07/2022 05:00 - 07/07/2022 06:00,"BZN|DE-LU","PT60M",190.77,"EUR"
              07/07/2022 06:00 - 07/07/2022 07:00,"BZN|DE-LU","PT60M",223.60,"EUR"
              07/07/2022 07:00 - 07/07/2022 08:00,"BZN|DE-LU","PT60M",282.38,"EUR"
              07/07/2022 08:00 - 07/07/2022 09:00,"BZN|DE-LU","PT60M",296.72,"EUR"
              07/07/2022 09:00 - 07/07/2022 10:00,"BZN|DE-LU","PT60M",256.00,"EUR"
              07/07/2022 10:00 - 07/07/2022 11:00,"BZN|DE-LU","PT60M",235.48,"EUR"
              07/07/2022 11:00 - 07/07/2022 12:00,"BZN|DE-LU","PT60M",220.00,"EUR"
              07/07/2022 12:00 - 07/07/2022 13:00,"BZN|DE-LU","PT60M",201.99,"EUR"
              07/07/2022 13:00 - 07/07/2022 14:00,"BZN|DE-LU","PT60M",190.48,"EUR"
              07/07/2022 14:00 - 07/07/2022 15:00,"BZN|DE-LU","PT60M",165.62,"EUR"
              07/07/2022 15:00 - 07/07/2022 16:00,"BZN|DE-LU","PT60M",159.07,"EUR"
              07/07/2022 16:00 - 07/07/2022 17:00,"BZN|DE-LU","PT60M",155.02,"EUR"
              07/07/2022 17:00 - 07/07/2022 18:00,"BZN|DE-LU","PT60M",169.68,"EUR"
              07/07/2022 18:00 - 07/07/2022 19:00,"BZN|DE-LU","PT60M",179.01,"EUR"
              07/07/2022 19:00 - 07/07/2022 20:00,"BZN|DE-LU","PT60M",197.23,"EUR"
              07/07/2022 20:00 - 07/07/2022 21:00,"BZN|DE-LU","PT60M",242.42,"EUR"
              07/07/2022 21:00 - 07/07/2022 22:00,"BZN|DE-LU","PT60M",258.96,"EUR"
              07/07/2022 22:00 - 07/07/2022 23:00,"BZN|DE-LU","PT60M",246.15,"EUR"
              07/07/2022 23:00 - 08/07/2022 00:00,"BZN|DE-LU","PT60M",197.94,"EUR"
              08/07/2022 00:00 - 08/07/2022 01:00,"BZN|DE-LU","PT60M",200.08,"EUR"
              08/07/2022 01:00 - 08/07/2022 02:00,"BZN|DE-LU","PT60M",224.05,"EUR"
              08/07/2022 02:00 - 08/07/2022 03:00,"BZN|DE-LU","PT60M",228.55,"EUR"
              08/07/2022 03:00 - 08/07/2022 04:00,"BZN|DE-LU","PT60M",227.26,"EUR"
              08/07/2022 04:00 - 08/07/2022 05:00,"BZN|DE-LU","PT60M",210.33,"EUR"
              08/07/2022 05:00 - 08/07/2022 06:00,"BZN|DE-LU","PT60M",248.33,"EUR"
              08/07/2022 06:00 - 08/07/2022 07:00,"BZN|DE-LU","PT60M",371.95,"EUR"
              08/07/2022 07:00 - 08/07/2022 08:00,"BZN|DE-LU","PT60M",418.92,"EUR"
              08/07/2022 08:00 - 08/07/2022 09:00,"BZN|DE-LU","PT60M",420.67,"EUR"
              08/07/2022 09:00 - 08/07/2022 10:00,"BZN|DE-LU","PT60M",351.70,"EUR"
              08/07/2022 10:00 - 08/07/2022 11:00,"BZN|DE-LU","PT60M",318.59,"EUR"
              08/07/2022 11:00 - 08/07/2022 12:00,"BZN|DE-LU","PT60M",272.28,"EUR"
              08/07/2022 12:00 - 08/07/2022 13:00,"BZN|DE-LU","PT60M",215.05,"EUR"
