"MTU (CET/CEST)","Area","Resolution","Price","Currency"
              05/05/2022 15:00 - 05/05/2022 16:00,"BZN|DE-LU","PT60M",210.00,"EUR"
              05/05/2022 16:00 - 05/05/2022 17:00,"BZN|DE-LU","PT60M",210.35,"EUR"
              05/05/2022 17:00 - 05/05/2022 18:00,"BZN|DE-LU","PT60M",229.00,"EUR"
              05/05/2022 18:00 - 05/05/2022 19:00,"BZN|DE-LU","PT60M",247.28,"EUR"
              05/05/2022 19:00 - 05/05/2022 20:00,"BZN|DE-LU","PT60M",263.00,"EUR"
              05/05/2022 20:00 - 05/05/2022 21:00,"BZN|DE-LU","PT60M",276.61,"EUR"
              05/05/2022 21:00 - 05/05/2022 22:00,"BZN|DE-LU","PT60M",259.96,"EUR"
              05/05/2022 22:00 - 05/05/2022 23:00,"BZN|DE-LU","PT60M",251.84,"EUR"
              05/05/2022 23:00 - 06/05/2022 00:00,"BZN|DE-LU","PT60M",238.52,"EUR"
              06/05/2022 00:00 - 06/05/2022 01:00,"BZN|DE-LU","PT60M",220.69,"EUR"
              06/05/2022 01:00 - 06/05/2022 02:00,"BZN|DE-LU","PT60M",213.74,"EUR"
              06/05/2022 02:00 - 06/05/2022 03:00,"BZN|DE-LU","PT60M",207.56,"EUR"
              06/05/2022 03:00 - 06/05/2022 04:00,"BZN|DE-LU","PT60M",204.02,"EUR"
              06/05/2022 04:00 - 06/05/2022 05:00,"BZN|DE-LU","PT60M",206.57,"EUR"
              06/05/2022 05:00 - 06/05/2022 06:00,"BZN|DE-LU","PT60M",219.07,"EUR"
              06/05/2022 06:00 - 06/05/2022 07:00,"BZN|DE-LU","PT60M",255.91,"EUR"
              06/05/2022 07:00 - 06/05/2022 08:00,"BZN|DE-LU","PT60M",274.92,"EUR"
              06/05/2022 08:00 - 06/05/2022 09:00,"BZN|DE-LU","PT60M",262.97,"EUR"
              06/05/2022 09:00 - 06/05/2022 10:00,"BZN|DE-LU","PT60M",236.80,"EUR"
              06/05/2022 10:00 - 06/05/2022 11:00,"BZN|DE-LU","PT60M",220.00,"EUR"
              06/05/2022 11:00 - 06/05/2022 12:00,"BZN|DE-LU","PT60M",208.13,"EUR"
              06/05/2022 12:00 - 06/05/2022 13:00,"BZN|DE-LU","PT60M",207.40,"EUR"
              06/05/2022 13:00 - 06/05/2022 14:00,"BZN|DE-LU","PT60M",191.81,"EUR"
              06/05/2022 14:00 - 06/05/2022 15:00,"BZN|DE-LU","PT60M",190.01,"EUR"
              06/05/2022 15:00 - 06/05/2022 16:00,"BZN|DE-LU","PT60M",187.01,"EUR"
              06/05/2022 16:00 - 06/05/2022 17:00,"BZN|DE-LU","PT60M",192.70,"EUR"
